yearMonth,assunto_cnj,count
2012-07-01,IPTU/ Imposto Predial e Territorial Urbano,3
2012-07-01,Obrigações,1
2012-07-01,Pensão por Morte (Art. 74/9),1
2012-08-01,Aborto provocado pela gestante ou com o seu consentimento,1
2012-08-01,Atentado Violento ao Pudor,2
2012-08-01,Auxílio-Doença Acidentário,1
2012-08-01,Cartão de Crédito,1
2012-08-01,CNH - Carteira Nacional de Habilitação,1
2012-08-01,Concessão,1
2012-08-01,Contratos Bancários,1
2012-08-01,Contribuições,1
2012-08-01,Estupro,2
2012-08-01,Expurgos Inflacionários / Planos Econômicos,1
2012-08-01,Fornecimento de Energia Elétrica,7
2012-08-01,Furto Qualificado,4
2012-08-01,Homicídio Qualificado,2
2012-08-01,ICMS/ Imposto sobre Circulação de Mercadorias,7
2012-08-01,Improbidade Administrativa,1
2012-08-01,Indenização por Dano Moral,1
2012-08-01,IPTU/ Imposto Predial e Territorial Urbano,5
2012-08-01,Latrocínio,6
2012-08-01,Licenças,1
2012-08-01,Licenciamento de Veículo,1
2012-08-01,Meio Ambiente,2
2012-08-01,"Reajustes de Remuneração, Proventos ou Pensão",1
2012-08-01,Roubo,3
2012-08-01,Roubo Majorado,9
2012-08-01,Sistema Nacional de Trânsito,1
2012-08-01,Tráfico de Drogas e Condutas Afins,1
2012-08-01,Tratamento Médico-Hospitalar e/ou Fornecimento de Medicamentos,2
2012-09-01,Auxílio-Doença Acidentário,1
2012-09-01,Compra e Venda,1
2012-09-01,Contratos Administrativos,1
2012-09-01,Contratos Bancários,3
2012-09-01,Contratos de Participacao Financeira,3
2012-09-01,Crimes contra a Fauna,1
2012-09-01,Crimes do Sistema Nacional de Armas,2
2012-09-01,Dívida Ativa não-tributária,2
2012-09-01,Espécies de Títulos de Crédito,1
2012-09-01,Estelionato,1
2012-09-01,Estupro,3
2012-09-01,Estupro de vulnerável,1
2012-09-01,Extorsão,1
2012-09-01,Fornecimento de Energia Elétrica,2
2012-09-01,Furto,3
2012-09-01,Furto Qualificado,3
2012-09-01,Homicídio Qualificado,2
2012-09-01,ICMS/ Imposto sobre Circulação de Mercadorias,5
2012-09-01,Impostos,1
2012-09-01,Inclusão Indevida em Cadastro de Inadimplentes,1
2012-09-01,Indenização por Dano Moral,3
2012-09-01,IPTU/ Imposto Predial e Territorial Urbano,3
2012-09-01,Latrocínio,1
2012-09-01,Licenças,2
2012-09-01,Licenciamento de Veículo,1
2012-09-01,Multas e demais Sanções,1
2012-09-01,Municipais,1
2012-09-01,Nota Promissória,1
2012-09-01,Pensão,1
2012-09-01,Promessa de Compra e Venda,2
2012-09-01,Promoção / Ascensão,1
2012-09-01,Roubo,2
2012-09-01,Roubo Majorado,18
2012-09-01,Servidao de Eletroduto,1
2012-09-01,Sistema Nacional de Trânsito,1
2012-09-01,Tráfico de Drogas e Condutas Afins,1
2012-09-01,Tratamento Médico-Hospitalar e/ou Fornecimento de Medicamentos,1
2012-09-01,NA,1
2012-10-01,Acidente de Trabalho,2
2012-10-01,Acidente De Trabalho,2
2012-10-01,Adulteração de Sinal Identificador de Veículo Automotor,2
2012-10-01,Alienação Fiduciária,1
2012-10-01,Aposentadoria,1
2012-10-01,Aposentadoria por Invalidez,2
2012-10-01,Aposentadoria por Invalidez Acidentária,1
2012-10-01,Apropriação indébita,1
2012-10-01,Atentado Violento ao Pudor,3
2012-10-01,Auxílio-Acidente (Art. 86),5
2012-10-01,Auxílio-Alimentação,1
2012-10-01,Auxílio-Doença Acidentário,31
2012-10-01,Benefícios em Espécie,3
2012-10-01,Cartão de Crédito,1
2012-10-01,Classificação e/ou Preterição,1
2012-10-01,Contratos Bancários,3
2012-10-01,Contratos de Consumo,1
2012-10-01,Contratos de Participacao Financeira,1
2012-10-01,Contravenções Penais,2
2012-10-01,Contribuições Previdenciárias,1
2012-10-01,Crimes de Trânsito,1
2012-10-01,Crimes do Sistema Nacional de Armas,8
2012-10-01,Crimes Previstos no Estatuto do Idoso,1
2012-10-01,Decorrente de Violência Doméstica,1
2012-10-01,Desacato,1
2012-10-01,Despejo por Denúncia Vazia,1
2012-10-01,Despesas Condominiais,1
2012-10-01,DIREITO DO CONSUMIDOR,2
2012-10-01,DIREITO PENAL,2
2012-10-01,Dívida Ativa não-tributária,2
2012-10-01,Edital,1
2012-10-01,Erro Médico,2
2012-10-01,Estelionato,3
2012-10-01,Estupro,3
2012-10-01,Estupro de vulnerável,1
2012-10-01,Extorsão,1
2012-10-01,Férias,1
2012-10-01,Fornecimento de Água,1
2012-10-01,Fornecimento de Energia Elétrica,4
2012-10-01,Furto,10
2012-10-01,Furto Qualificado,23
2012-10-01,Homicídio Qualificado,4
2012-10-01,ICMS/ Imposto sobre Circulação de Mercadorias,13
2012-10-01,Impostos,4
2012-10-01,Improbidade Administrativa,2
2012-10-01,Incêndio,1
2012-10-01,Inclusão Indevida em Cadastro de Inadimplentes,2
2012-10-01,Indenização por Dano Material,1
2012-10-01,Indenização por Dano Moral,12
2012-10-01,Integralidade,2
2012-10-01,IPTU/ Imposto Predial e Territorial Urbano,8
2012-10-01,IPVA - Imposto Sobre Propriedade de Veículos Automotores,1
2012-10-01,ISS/ Imposto sobre Serviços,2
2012-10-01,Latrocínio,15
2012-10-01,Liberação de Veículo Apreendido,1
2012-10-01,Licitações,1
2012-10-01,Multas e demais Sanções,1
2012-10-01,Mútuo,1
2012-10-01,Nota Promissória,1
2012-10-01,Orçamento,1
2012-10-01,Pensão,1
2012-10-01,Pensão por Morte (Art. 74/9),1
2012-10-01,"Reajustes de Remuneração, Proventos ou Pensão",22
2012-10-01,Receptação,5
2012-10-01,Receptação Qualificada,1
2012-10-01,Recuperação judicial e Falência,1
2012-10-01,Responsabilidade Civil,1
2012-10-01,Responsabilidade da Administração,1
2012-10-01,Roubo,8
2012-10-01,Roubo Majorado,86
2012-10-01,Saúde,1
2012-10-01,Servidores Ativos,3
2012-10-01,Taxa de Coleta de Lixo,2
2012-10-01,Telefonia,2
2012-10-01,Tráfico de Drogas e Condutas Afins,5
2012-10-01,Tratamento Médico-Hospitalar e/ou Fornecimento de Medicamentos,6
2012-10-01,Uso de documento falso,1
2012-10-01,Usucapião Extraordinária,1
2012-10-01,Usucapião Ordinária,1
2012-10-01,NA,2
2012-11-01,1/3 de férias,1
2012-11-01,Acidente de Trabalho,13
2012-11-01,Acidente De Trabalho,18
2012-11-01,Acidente de Trânsito,4
2012-11-01,Adicional de Insalubridade,1
2012-11-01,Adjudicação Compulsória,1
2012-11-01,Adoção de Criança,1
2012-11-01,Alienação Fiduciária,8
2012-11-01,Ameaça,4
2012-11-01,Anulação e Correção de Provas / Questões,1
2012-11-01,Aposentadoria por Invalidez,5
2012-11-01,Aposentadoria por Invalidez Acidentária,6
2012-11-01,Apropriação indébita,3
2012-11-01,Arrendamento Rural,8
2012-11-01,Associação para a Produção e Tráfico e Condutas Afins,2
2012-11-01,Atentado Violento ao Pudor,4
2012-11-01,Atos Administrativos,5
2012-11-01,Auxílio-Acidente (Art. 86),43
2012-11-01,Auxílio-Alimentação,3
2012-11-01,Auxílio-Doença Acidentário,143
2012-11-01,Bancários,1
2012-11-01,Benefícios em Espécie,15
2012-11-01,Cartão de Crédito,2
2012-11-01,Cheque,5
2012-11-01,CNH - Carteira Nacional de Habilitação,2
2012-11-01,Cofins,1
2012-11-01,Coisas,1
2012-11-01,Compra e Venda,1
2012-11-01,Concessão,5
2012-11-01,Concurso Público / Edital,3
2012-11-01,Consórcio,1
2012-11-01,Contratos Administrativos,3
2012-11-01,Contratos Bancários,18
2012-11-01,Contratos de Consumo,2
2012-11-01,Contratos de Participacao Financeira,3
2012-11-01,Contribuição Sindical,1
2012-11-01,Contribuições de Melhoria,3
2012-11-01,Contribuições Sociais,3
2012-11-01,Controle de Constitucionalidade,1
2012-11-01,Corrupção ativa,1
2012-11-01,Crimes contra a Flora,1
2012-11-01,Crimes contra as Relações de Consumo,3
2012-11-01,Crimes de Tortura,1
2012-11-01,Crimes de Tráfico Ilícito e uso indevido de drogas - L 6368,6
2012-11-01,Crimes de Trânsito,2
2012-11-01,Crimes do Sistema Nacional de Armas,48
2012-11-01,Crimes do Sistema Nacional de Armas - L 9437,1
2012-11-01,Crimes Previstos no Estatuto da criança e do adolescente,2
2012-11-01,Dano Ambiental,1
2012-11-01,Dano Qualificado,2
2012-11-01,Decorrente de Violência Doméstica,1
2012-11-01,Denunciação caluniosa,3
2012-11-01,Desacato,3
2012-11-01,Desapropriação por Utilidade Pública / DL 3.365/1941,1
2012-11-01,Despesas Condominiais,1
2012-11-01,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,5
2012-11-01,Direito de Imagem,1
2012-11-01,Direito de Vizinhança,1
2012-11-01,DIREITO PENAL,7
2012-11-01,Disposição de coisa alheia como própria,1
2012-11-01,Dívida Ativa não-tributária,5
2012-11-01,Ensino Superior,1
2012-11-01,Erro Médico,11
2012-11-01,Espécies de Contratos,1
2012-11-01,Espécies de Títulos de Crédito,1
2012-11-01,Estaduais,2
2012-11-01,Estelionato,4
2012-11-01,Estupro,13
2012-11-01,Estupro de vulnerável,4
2012-11-01,Exame de Saúde e/ou Aptidão Física,1
2012-11-01,Falsificação de documento particular,1
2012-11-01,Falsificação de documento público,1
2012-11-01,Falso testemunho ou falsa perícia,1
2012-11-01,Fornecimento de Água,7
2012-11-01,Fornecimento de Energia Elétrica,27
2012-11-01,Furto,33
2012-11-01,Furto de Veículo Automotor a ser Transportado para outro Estado ou Exterior,2
2012-11-01,Furto Privilegiado,2
2012-11-01,Furto Qualificado,58
2012-11-01,Garantias Constitucionais,1
2012-11-01,Grave,4
2012-11-01,Habilitação / Registro Cadastral / Julgamento / Homologação,2
2012-11-01,Homicídio Qualificado,58
2012-11-01,Homicídio Simples,10
2012-11-01,ICMS / Incidência Sobre o Ativo Fixo,1
2012-11-01,ICMS/ Imposto sobre Circulação de Mercadorias,134
2012-11-01,Impostos,20
2012-11-01,Improbidade Administrativa,4
2012-11-01,Incêndio,1
2012-11-01,Inclusão Indevida em Cadastro de Inadimplentes,2
2012-11-01,Inconstitucionalidade Material,1
2012-11-01,Indenização por Dano Material,10
2012-11-01,Indenizaçao por Dano Moral,1
2012-11-01,Indenização por Dano Moral,328
2012-11-01,Infração Administrativa,6
2012-11-01,Inquérito / Processo / Recurso Administrativo,1
2012-11-01,Integralidade,1
2012-11-01,Interdição,1
2012-11-01,IPTU/ Imposto Predial e Territorial Urbano,36
2012-11-01,IPVA - Imposto Sobre Propriedade de Veículos Automotores,11
2012-11-01,IRPF/Imposto de Renda de Pessoa Física,20
2012-11-01,ISS/ Imposto sobre Serviços,11
2012-11-01,ITCD - Imposto de Transmissão Causa Mortis,1
2012-11-01,Latrocínio,16
2012-11-01,Liberação de Veículo Apreendido,3
2012-11-01,Licenças,2
2012-11-01,Licenciamento de Veículo,3
2012-11-01,Licitações,9
2012-11-01,Maus Tratos,1
2012-11-01,Meio Ambiente,4
2012-11-01,Militar,1
2012-11-01,Moeda Falsa / Assimilados,1
2012-11-01,Movimentos Repetitivos/Tenossinovite/LER/DORT,1
2012-11-01,Multas e demais Sanções,12
2012-11-01,Municipais,3
2012-11-01,Mútuo,5
2012-11-01,Nomeação,3
2012-11-01,Nota Promissória,1
2012-11-01,Obrigações,3
2012-11-01,Ordenação da Cidade / Plano Diretor,1
2012-11-01,Pagamento Atrasado / Correção Monetária,1
2012-11-01,Pensão,14
2012-11-01,Pensão por Morte (Art. 74/9),6
2012-11-01,Planos de Saúde,3
2012-11-01,Posse,2
2012-11-01,Posse de Drogas para Consumo Pessoal,1
2012-11-01,Previdência privada,2
2012-11-01,Promessa de Compra e Venda,2
2012-11-01,Promoção / Ascensão,3
2012-11-01,Propriedade,3
2012-11-01,"Reajustes de Remuneração, Proventos ou Pensão",14
2012-11-01,Receptação,7
2012-11-01,Redistribuição,1
2012-11-01,Regime Previdenciário,1
2012-11-01,Reintegração,1
2012-11-01,Responsabilidade Civil,84
2012-11-01,Responsabilidade da Administração,3
2012-11-01,Roubo,31
2012-11-01,Roubo Majorado,135
2012-11-01,Saúde,4
2012-11-01,Seguida de Morte,1
2012-11-01,Seguro,1
2012-11-01,Serviços Hospitalares,1
2012-11-01,Servidor Público Civil,2
2012-11-01,Sistema Financeiro da Habitação,8
2012-11-01,Sistema Nacional de Trânsito,10
2012-11-01,Sistema Remuneratório e Benefícios,9
2012-11-01,Taxa de Limpeza Pública,1
2012-11-01,Telefonia,9
2012-11-01,Tráfico de Drogas e Condutas Afins,76
2012-11-01,Transporte de Pessoas,1
2012-11-01,Tratamento Médico-Hospitalar e/ou Fornecimento de Medicamentos,295
2012-11-01,Usucapião Extraordinária,2
2012-11-01,Violação de direito autoral,2
2012-11-01,NA,21
2012-12-01,Abandono de incapaz,1
2012-12-01,Abandono Material,5
2012-12-01,Abono de Permanência,2
2012-12-01,Aborto provocado por terceiro,1
2012-12-01,Abuso Sexual,1
2012-12-01,Acidente de Trabalho,35
2012-12-01,Acidente De Trabalho,34
2012-12-01,Acidente de Trânsito,33
2012-12-01,Acumulação de Cargos,3
2012-12-01,Adicional de Horas Extras,12
2012-12-01,Adicional de Insalubridade,29
2012-12-01,Adicional de Periculosidade,6
2012-12-01,Adicional de Serviço Noturno,12
2012-12-01,Adicional por Tempo de Serviço,4
2012-12-01,Adjudicação Compulsória,2
2012-12-01,Administração,1
2012-12-01,Administração de Herança,1
2012-12-01,Adulteração de Sinal Identificador de Veículo Automotor,2
2012-12-01,Agrotóxicos,3
2012-12-01,Águas Públicas,8
2012-12-01,Alienação Fiduciária,2698
2012-12-01,Alimentos,53
2012-12-01,Alteração de Coisa Comum,2
2012-12-01,Amamentação,1
2012-12-01,Ameaça,36
2012-12-01,Anulação,5
2012-12-01,Anulação e Correção de Provas / Questões,1
2012-12-01,Aposentadoria,20
2012-12-01,Aposentadoria por Invalidez,22
2012-12-01,Aposentadoria por Invalidez Acidentária,5
2012-12-01,Apropriação indébita,17
2012-12-01,Apropriação indébita Previdenciária,2
2012-12-01,Apuração de haveres,1
2012-12-01,Aquisição,5
2012-12-01,Arrendamento Mercantil,187
2012-12-01,Arrendamento Rural,32
2012-12-01,Assédio Sexual,1
2012-12-01,Assistência à Saúde,2
2012-12-01,Associação,7
2012-12-01,Associação para a Produção e Tráfico e Condutas Afins,12
2012-12-01,Atentado Violento ao Pudor,50
2012-12-01,Atividade Política,1
2012-12-01,Ato / Negócio Jurídico,1
2012-12-01,Ato Infracional,14
2012-12-01,"Ato Lesivo ao Patrimônio Artístico, Estético, Histórico ou Turístico",1
2012-12-01,Atos Administrativos,38
2012-12-01,Auxílio-Acidente (Art. 86),72
2012-12-01,Auxílio-Alimentação,776
2012-12-01,Auxílio-Doença Acidentário,214
2012-12-01,Auxílio-Doença Previdenciário,1
2012-12-01,Auxílio-transporte,4
2012-12-01,Averbação / Contagem de Tempo Especial,1
2012-12-01,Bancários,536
2012-12-01,Bem de Família,1
2012-12-01,"Benefício Assistencial (Art. 203,V CF/88)",2
2012-12-01,Benefícios em Espécie,20
2012-12-01,Bens Públicos,1
2012-12-01,Busca e Apreensão de Menores,2
2012-12-01,Calúnia,2
2012-12-01,Cancelamento de Protesto,6
2012-12-01,Capacidade,23
2012-12-01,Cartão de Crédito,532
2012-12-01,Casamento,3
2012-12-01,Cédula de Crédito Bancário,7
2012-12-01,Cédula de Crédito Rural,18
2012-12-01,Cédula de Produto Rural,10
2012-12-01,Cessão de Crédito,3
2012-12-01,Cessão de créditos não-tributários,2
2012-12-01,Cheque,105
2012-12-01,Classificação de créditos,1
2012-12-01,Classificação e/ou Preterição,27
2012-12-01,CNH - Carteira Nacional de Habilitação,16
2012-12-01,Coação no curso do processo,1
2012-12-01,Cobrança indevida de ligações,2
2012-12-01,Cofins,35
2012-12-01,Coisas,29
2012-12-01,Comodato,6
2012-12-01,Compensação com Apólices da Dívida Pública,1
2012-12-01,Compra e Venda,69
2012-12-01,Compromisso,2
2012-12-01,Concessão,27
2012-12-01,Concessão / Permissão / Autorização,1
2012-12-01,Concurso de Credores,4
2012-12-01,Concurso Público / Edital,121
2012-12-01,Condomínio,33
2012-12-01,Condomínio em Edifício,25
2012-12-01,Consórcio,68
2012-12-01,Contra o Patrimônio,1
2012-12-01,Contrato Temporário de Mão de Obra L 8.745/1993,1
2012-12-01,Contratos Administrativos,33
2012-12-01,Contratos Bancários,1134
2012-12-01,Contratos de Consumo,122
2012-12-01,Contratos de Participacao Financeira,1329
2012-12-01,Contravenções Penais,7
2012-12-01,Contribuição Sindical,5
2012-12-01,Contribuições,3
2012-12-01,Contribuições de Melhoria,9
2012-12-01,"Contribuições para o SEBRAE, SESC, SENAC, SENAI e outros",1
2012-12-01,Contribuições Previdenciárias,78
2012-12-01,Contribuições Sociais,10
2012-12-01,Controle de Constitucionalidade,5
2012-12-01,Convênio,3
2012-12-01,Corretagem,11
2012-12-01,Corrupção ativa,5
2012-12-01,Corrupção de Menores,1
2012-12-01,Crédito Rural,1
2012-12-01,Crédito Tributário,2
2012-12-01,Crimes contra a Fauna,3
2012-12-01,Crimes contra a Flora,2
2012-12-01,Crimes contra as Relações de Consumo,5
2012-12-01,Crimes de Tortura,4
2012-12-01,Crimes de Tráfico Ilícito e uso indevido de drogas - L 6368,23
2012-12-01,Crimes de Trânsito,53
2012-12-01,Crimes do Sistema Nacional de Armas,67
2012-12-01,Crimes Falimentares,2
2012-12-01,Crimes Militares,3
2012-12-01,Crimes Previstos no Estatuto da criança e do adolescente,15
2012-12-01,Crimes Previstos no Estatuto do Idoso,2
2012-12-01,Curso de Formação,1
2012-12-01,Da Poluição,2
2012-12-01,Dano,1
2012-12-01,Dano ao Erário,2
2012-12-01,Dano Qualificado,1
2012-12-01,De Tráfico Ilícito e Uso Indevido de Drogas,2
2012-12-01,Decorrente de Violência Doméstica,31
2012-12-01,Demissão ou Exoneração,6
2012-12-01,Denunciação caluniosa,5
2012-12-01,Desacato,1
2012-12-01,Desapropriação,11
2012-12-01,Desapropriação Indireta,4
2012-12-01,Desapropriação por Utilidade Pública / DL 3.365/1941,3
2012-12-01,Descontos Indevidos,39
2012-12-01,Desobediência,1
2012-12-01,Despejo por Denúncia Vazia,5
2012-12-01,Despesas Condominiais,30
2012-12-01,Diárias e Outras Indenizações,1
2012-12-01,Difamação,2
2012-12-01,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,22
2012-12-01,Direito Autoral,2
2012-12-01,DIREITO CIVIL,6
2012-12-01,DIREITO DA CRIANÇA E DO ADOLESCENTE,29
2012-12-01,Direito de Imagem,4
2012-12-01,Direito de Vizinhança,20
2012-12-01,DIREITO DO CONSUMIDOR,12
2012-12-01,DIREITO PENAL,24
2012-12-01,Direitos / Deveres do Condômino,2
2012-12-01,Disponibilidade / Aproveitamento,1
2012-12-01,Disposição de coisa alheia como própria,2
2012-12-01,Dissolução,59
2012-12-01,Dívida Ativa não-tributária,151
2012-12-01,Divisão e Demarcação,4
2012-12-01,Doação,5
2012-12-01,Domínio Público,1
2012-12-01,Duplicata,58
2012-12-01,Duplicata Simulada,2
2012-12-01,Edital,2
2012-12-01,Empregado Público / Temporário,49
2012-12-01,Empréstimos Compulsórios,1
2012-12-01,Enquadramento,1
2012-12-01,Enriquecimento sem Causa,1
2012-12-01,Ensino Fundamental e Médio,11
2012-12-01,Ensino Superior,35
2012-12-01,Erro Médico,11
2012-12-01,Esbulho / Turbação / Ameaça,29
2012-12-01,Espécies de Contratos,56
2012-12-01,Espécies de Títulos de Crédito,45
2012-12-01,Estabelecimentos de Ensino,8
2012-12-01,Estaduais,3
2012-12-01,Estelionato,57
2012-12-01,Estupro,73
2012-12-01,Estupro de vulnerável,40
2012-12-01,Exame de Saúde e/ou Aptidão Física,10
2012-12-01,Exame Psicotécnico / Psiquiátrico,13
2012-12-01,Exclusão - ICMS,1
2012-12-01,Exibicao de Documentos,185
2012-12-01,Exoneração,18
2012-12-01,Expedição de Certidão Positiva de Débito com Efeito de Negativa,1
2012-12-01,Expurgos Inflacionários / Planos Econômicos,302
2012-12-01,Extorsão,5
2012-12-01,Extorsão mediante seqüestro,8
2012-12-01,Falsidade ideológica,1
2012-12-01,Falsificação de documento particular,2
2012-12-01,Falsificação de documento público,4
2012-12-01,Falso testemunho ou falsa perícia,4
2012-12-01,Família,22
2012-12-01,FAVORECIMENTO DA PROSTITUICAO OU OUTRA FORMA DE EXPLORACAO SEXUAL DE VULNERAVEL,4
2012-12-01,Férias,29
2012-12-01,Financiamento ou Custeio de Produção ou Tráfico de Drogas,2
2012-12-01,Fiscalização,3
2012-12-01,Fixação,1
2012-12-01,Fornecimento de Água,38
2012-12-01,Fornecimento de Energia Elétrica,273
2012-12-01,Furto,136
2012-12-01,Furto (art. 155),1
2012-12-01,Furto Privilegiado,6
2012-12-01,Furto Qualificado,269
2012-12-01,Garantias Constitucionais,3
2012-12-01,Gestante / Adotante / Paternidade,2
2012-12-01,Gratificação Natalina/13º salário,28
2012-12-01,Gratificações de Atividade,10
2012-12-01,Gratificações e Adicionais,21
2012-12-01,Grave,6
2012-12-01,Gravíssima,4
2012-12-01,Guarda,22
2012-12-01,Habilitação / Registro Cadastral / Julgamento / Homologação,10
2012-12-01,Hipoteca,1
2012-12-01,Homicídio Privilegiado,3
2012-12-01,Homicídio Qualificado,225
2012-12-01,Homicídio Simples,73
2012-12-01,Honorarios Profissionais,63
2012-12-01,ICMS / Incidência Sobre o Ativo Fixo,5
2012-12-01,ICMS/ Imposto sobre Circulação de Mercadorias,495
2012-12-01,ICMS/Importação,5
2012-12-01,Imissão,12
2012-12-01,Impostos,95
2012-12-01,Improbidade Administrativa,49
2012-12-01,Inadimplemento,11
2012-12-01,Incêndio,3
2012-12-01,Inclusão de Dependente,1
2012-12-01,Inclusão Indevida em Cadastro de Inadimplentes,474
2012-12-01,Inconstitucionalidade Material,15
2012-12-01,Indenização por Dano Material,103
2012-12-01,Indenizaçao por Dano Moral,2
2012-12-01,Indenização por Dano Moral,1534
2012-12-01,Infração Administrativa,12
2012-12-01,Ingresso e Exclusão dos Sócios na Sociedade,1
2012-12-01,Injúria,2
2012-12-01,Inquérito / Processo / Recurso Administrativo,1
2012-12-01,Inscrição / Documentação,4
2012-12-01,Inspeção Fitossanitária,1
2012-12-01,Integralidade,30
2012-12-01,Interdição,1
2012-12-01,Interpretação / Revisão de Contrato,7
2012-12-01,Intervenção do Estado na Propriedade,2
2012-12-01,Inventário e Partilha,22
2012-12-01,Investigação de Paternidade,3
2012-12-01,IPTU/ Imposto Predial e Territorial Urbano,474
2012-12-01,IPVA - Imposto Sobre Propriedade de Veículos Automotores,38
2012-12-01,IRPF/Imposto de Renda de Pessoa Física,56
2012-12-01,Irredutibilidade de Vencimentos,2
2012-12-01,Isonomia,3
2012-12-01,Isonomia/Equivalência Salarial,10
2012-12-01,ISS/ Imposto sobre Serviços,98
2012-12-01,ITBI - Imposto de Transmissão Intervivos de Bens Móveis e Imóveis,10
2012-12-01,ITCD - Imposto de Transmissão Causa Mortis,20
2012-12-01,Jornada de Trabalho,14
2012-12-01,Latrocínio,57
2012-12-01,Letra de Câmbio,1
2012-12-01,Leve,13
2012-12-01,Liberação de Veículo Apreendido,25
2012-12-01,Licença Prêmio,11
2012-12-01,Licença-Prêmio,13
2012-12-01,Licenças,15
2012-12-01,Licenças / Afastamentos,3
2012-12-01,Licenciamento de Veículo,23
2012-12-01,Licitações,33
2012-12-01,Limite de Idade,2
2012-12-01,Locação de Imóvel,143
