yearMonth,subject,count
2010-01-01,Crimes de Tr\xc3\xa2nsito,45
2010-01-01,Crimes do Sistema Nacional de Armas,129
2010-01-01,Crimes Falimentares,1
2010-01-01,Crimes Militares,3
2010-01-01,Crimes Previstos na Legisla\xc3\xa7\xc3\xa3o Extravagante,2
2010-01-01,Crimes Previstos no Estatuto da crian\xc3\xa7a e do adolescente,5
2010-01-01,Crimes Previstos no Estatuto do Idoso,1
2010-01-01,Curso de Forma\xc3\xa7\xc3\xa3o,1
2010-01-01,D\xc3\xadvida Ativa n\xc3\xa3o,3
2010-01-01,Da Polui\xc3\xa7\xc3\xa3o,1
2010-01-01,Dano ao Er\xc3\xa1rio,3
2010-01-01,Dano Qualificado,1
2010-01-01,Decorrente de Viol\xc3\xaancia Dom\xc3\xa9stica,19
2010-01-01,Demiss\xc3\xa3o ou Exonera\xc3\xa7\xc3\xa3o,3
2010-01-01,Denuncia\xc3\xa7\xc3\xa3o caluniosa,8
2010-01-01,Desacato,4
2010-01-01,Desapropria\xc3\xa7\xc3\xa3o,14
2010-01-01,Desapropria\xc3\xa7\xc3\xa3o de Im\xc3\xb3vel Urbano,1
2010-01-01,Desapropria\xc3\xa7\xc3\xa3o Indireta,1
2010-01-01,Desapropria\xc3\xa7\xc3\xa3o por Utilidade P\xc3\xbablica,10
2010-01-01,Desconto em folha de pagamento,6
2010-01-01,Descontos Indevidos,54
2010-01-01,Desenho Industrial,1
2010-01-01,Desobedi\xc3\xaancia,1
2010-01-01,Despejo para Uso Pr\xc3\xb3prio,1
2010-01-01,Despejo por Den\xc3\xbancia Vazia,3
2010-01-01,Despesas Condominiais,18
2010-01-01,Di\xc3\xa1rias e Outras Indeniza\xc3\xa7\xc3\xb5es,1
2010-01-01,DIREITO ADMINISTRATIVO E OUTRAS MAT\xc3\x89RIAS DE DIREITO P\xc3\x9aBLICO,11
2010-01-01,Direito Autoral,1
2010-01-01,DIREITO CIVIL,11
2010-01-01,DIREITO DA CRIAN\xc3\x87A E DO ADOLESCENTE,14
2010-01-01,Direito de Vizinhan\xc3\xa7a,16
2010-01-01,DIREITO DO CONSUMIDOR,15
2010-01-01,DIREITO PENAL,4
2010-01-01,Direitos e T\xc3\xadtulos de Cr\xc3\xa9dito,3
2010-01-01,Disposi\xc3\xa7\xc3\xa3o de coisa alheia como pr\xc3\xb3pria,2
2010-01-01,Dissolu\xc3\xa7\xc3\xa3o,68
2010-01-01,Divis\xc3\xa3o e Demarca\xc3\xa7\xc3\xa3o,1
2010-01-01,Duplicata,52
2010-01-01,Duplicata Simulada,1
2010-01-01,Edi\xc3\xa7\xc3\xa3o,1
2010-01-01,Empr\xc3\xa9stimos Compuls\xc3\xb3rios,3
2010-01-01,Empregado P\xc3\xbablico,1
2010-01-01,Energia El\xc3\xa9trica,4
2010-01-01,Ensino Fundamental e M\xc3\xa9dio,1
2010-01-01,Ensino Superior,34
2010-01-01,Equil\xc3\xadbrio Financeiro,1
2010-01-01,Erro M\xc3\xa9dico,7
2010-01-01,Esbulho,9
2010-01-01,Esp\xc3\xa9cies de Contratos,24
2010-01-01,Esp\xc3\xa9cies de T\xc3\xadtulos de Cr\xc3\xa9dito,13
2010-01-01,Estabelecimentos de Ensino,9
2010-01-01,Estaduais,2
2010-01-01,Estelionato,33
2010-01-01,Estupro,63
2010-01-01,Exame de Sa\xc3\xbade e,2
2010-01-01,Exame Psicot\xc3\xa9cnico,2
2010-01-01,Exibicao de Documentos,48
2010-01-01,Exonera\xc3\xa7\xc3\xa3o,25
2010-01-01,Expurgos Inflacion\xc3\xa1rios,868
2010-01-01,Extors\xc3\xa3o,6
2010-01-01,Extors\xc3\xa3o mediante seq\xc3\xbcestro,1
2010-01-01,F\xc3\xa9rias,78
2010-01-01,Falsa identidade,1
2010-01-01,Falsidade de atestado m\xc3\xa9dico,1
2010-01-01,Falsidade ideol\xc3\xb3gica,5
2010-01-01,Falsifica\xc3\xa7\xc3\xa3o de documento p\xc3\xbablico,6
2010-01-01,Falso testemunho ou falsa per\xc3\xadcia,4
2010-01-01,Fam\xc3\xadlia,57
2010-01-01,Fiscaliza\xc3\xa7\xc3\xa3o,3
2010-01-01,Fixa\xc3\xa7\xc3\xa3o,4
2010-01-01,Fornecimento de \xc3\x81gua,9
2010-01-01,Fornecimento de Energia El\xc3\xa9trica,153
2010-01-01,Furto,85
2010-01-01,Furto Privilegiado,3
2010-01-01,Furto Qualificado,204
2010-01-01,Garantias Constitucionais,2
2010-01-01,Gest\xc3\xa3o de Neg\xc3\xb3cios,1
2010-01-01,Gratifica\xc3\xa7\xc3\xa3o de Incentivo,1
2010-01-01,Gratifica\xc3\xa7\xc3\xa3o Natalina,1
2010-01-01,Gratifica\xc3\xa7\xc3\xb5es de Atividade,7
2010-01-01,Gratifica\xc3\xa7\xc3\xb5es e Adicionais,32
2010-01-01,Grav\xc3\xadssima,2
2010-01-01,Grave,3
2010-01-01,Guarda,16
2010-01-01,Habilita\xc3\xa7\xc3\xa3o,3
2010-01-01,Homic\xc3\xaddio Privilegiado,6
2010-01-01,Homic\xc3\xaddio Qualificado,213
2010-01-01,Homic\xc3\xaddio Simples,80
2010-01-01,Honorarios Profissionais,40
2010-01-01,ICMS,222
2010-01-01,Imiss\xc3\xa3o,6
2010-01-01,Impostos,24
2010-01-01,Improbidade Administrativa,7
2010-01-01,Inadimplemento,2
2010-01-01,Inc\xc3\xaandio,3
2010-01-01,Incapacidade Laborativa Parcial,1
2010-01-01,Incapacidade Laborativa Tempor\xc3\xa1ria,1
2010-01-01,Inclus\xc3\xa3o Indevida em Cadastro de Inadimplentes,161
2010-01-01,Inconstitucionalidade Material,6
2010-01-01,Indeniza\xc3\xa7\xc3\xa3o por Dano Material,49
2010-01-01,Indeniza\xc3\xa7\xc3\xa3o por Dano Moral,918
2010-01-01,Indeniza\xc3\xa7\xc3\xb5es Regulares,1
2010-01-01,Indeniza\xc3\xa7ao por Dano Moral,1
2010-01-01,Industrial,1
2010-01-01,Induzimento \xc3\xa0 Especula\xc3\xa7\xc3\xa3o,1
2010-01-01,Infra\xc3\xa7\xc3\xa3o Administrativa,2
2010-01-01,Inj\xc3\xbaria,4
2010-01-01,Inscri\xc3\xa7\xc3\xa3o,2
2010-01-01,Integralidade,146
2010-01-01,Interpreta\xc3\xa7\xc3\xa3o,4
2010-01-01,Interven\xc3\xa7\xc3\xa3o em Estado,1
2010-01-01,Invalidez Permanente,1
2010-01-01,Invent\xc3\xa1rio e Partilha,65
2010-01-01,Investiga\xc3\xa7\xc3\xa3o de Paternidade,17
2010-01-01,IPTU,278
2010-01-01,IPVA,10
2010-01-01,IRPF,4
2010-01-01,Irredutibilidade de Vencimentos,1
2010-01-01,Isonomia,50
2010-01-01,ISS,43
2010-01-01,ITBI,3
2010-01-01,ITCD,7
2010-01-01,Jogos de Bingo e,1
2010-01-01,Jornada de Trabalho,1
2010-01-01,Latroc\xc3\xadnio,79
2010-01-01,Leasing Imobiliario,1
2010-01-01,Les\xc3\xa3o Corporal,1
2010-01-01,Letra de C\xc3\xa2mbio,2
2010-01-01,Leve,2
2010-01-01,Libera\xc3\xa7\xc3\xa3o de Ve\xc3\xadculo Apreendido,12
2010-01-01,Licen\xc3\xa7a,1
2010-01-01,Licen\xc3\xa7a Pr\xc3\xaamio,2
2010-01-01,Licen\xc3\xa7as,9
2010-01-01,Licenciamento de Ve\xc3\xadculo,3
2010-01-01,Licita\xc3\xa7\xc3\xb5es,16
2010-01-01,Limita\xc3\xa7\xc3\xa3o de Juros,1
2010-01-01,Limite de Idade,1
2010-01-01,Liquida\xc3\xa7\xc3\xa3o,1
2010-01-01,Loca\xc3\xa7\xc3\xa3o de Im\xc3\xb3vel,119
2010-01-01,Loca\xc3\xa7\xc3\xa3o de M\xc3\xb3vel,3
2010-01-01,Lota\xc3\xa7\xc3\xa3o,1
2010-01-01,M\xc3\xbatuo,268
2010-01-01,Mandato,13
2010-01-01,Marca,3
2010-01-01,Maus Tratos,2
2010-01-01,Medidas S\xc3\xb3cioeducativas,1
2010-01-01,Meio Ambiente,10
2010-01-01,Militar,17
2010-01-01,Multas e demais San\xc3\xa7\xc3\xb5es,66
2010-01-01,Municipais,3
2010-01-01,Nomea\xc3\xa7\xc3\xa3o,7
2010-01-01,Nota de Cr\xc3\xa9dito Comercial,2
2010-01-01,Nota Promiss\xc3\xb3ria,54
2010-01-01,Nova\xc3\xa7\xc3\xa3o,3
2010-01-01,Nulidade e Anula\xc3\xa7\xc3\xa3o de Partilha e Adjudica\xc3\xa7\xc3\xa3o de Heran\xc3\xa7a,1
2010-01-01,Nulidade e Anula\xc3\xa7\xc3\xa3o de Testamento,4
2010-01-01,NULL,3434
2010-01-01,Obriga\xc3\xa7\xc3\xb5es,21
2010-01-01,Oferta,1
2010-01-01,Ordena\xc3\xa7\xc3\xa3o da Cidade,2
2010-01-01,Pagamento,78
2010-01-01,Pagamento Atrasado,1
2010-01-01,Pagamento em Consigna\xc3\xa7\xc3\xa3o,1
2010-01-01,Parcelamento do solo urbano,4
2010-01-01,Parceria Agr\xc3\xadcola e,2
2010-01-01,Patente,1
2010-01-01,Peculato,6
2010-01-01,Pens\xc3\xa3o,35
2010-01-01,Pens\xc3\xa3o por Morte,1
2010-01-01,Perdas e Danos,4
2010-01-01,Pessoas naturais,1
2010-01-01,PIS,55
2010-01-01,Plano de Classifica\xc3\xa7\xc3\xa3o de Cargos,1
2010-01-01,Planos de Sa\xc3\xbade,120
2010-01-01,Posse,40
2010-01-01,Posse de Drogas para Consumo Pessoal,11
2010-01-01,Presta\xc3\xa7\xc3\xa3o de Contas,1
2010-01-01,Presta\xc3\xa7\xc3\xa3o de Servi\xc3\xa7os,55
2010-01-01,Previd\xc3\xaancia privada,232
2010-01-01,Processo Administrativo Disciplinar ou Sindic\xc3\xa2ncia,4
2010-01-01,Promessa de Compra e Venda,61
2010-01-01,Promo\xc3\xa7\xc3\xa3o,182
2010-01-01,Propriedade,6
2010-01-01,Propriedade Intelectual,1
2010-01-01,Protesto Indevido de T\xc3\xadtulo,2
2010-01-01,Reajuste de Presta\xc3\xa7\xc3\xb5es,1
2010-01-01,Reajuste de Remunera\xc3\xa7\xc3\xa3o,40
2010-01-01,Reajustes de Remunera\xc3\xa7\xc3\xa3o,1114
2010-01-01,Recepta\xc3\xa7\xc3\xa3o,45
2010-01-01,Recepta\xc3\xa7\xc3\xa3o Qualificada,9
2010-01-01,Reconhecimento,29
2010-01-01,Recupera\xc3\xa7\xc3\xa3o judicial e Fal\xc3\xaancia,20
2010-01-01,Redu\xc3\xa7\xc3\xa3o da Capacidade Auditiva,1
2010-01-01,Regime de Bens Entre os C\xc3\xb4njuges,4
2010-01-01,Regime Estatut\xc3\xa1rio,3
2010-01-01,Registro Civil das Pessoas Naturais,1
2010-01-01,Registro das Pessoas Juridicas d de Titulos E,3
2010-01-01,Registro de Im\xc3\xb3veis,10
2010-01-01,Regulamenta\xc3\xa7\xc3\xa3o de Visitas,10
2010-01-01,Reintegra\xc3\xa7\xc3\xa3o,7
2010-01-01,Reivindica\xc3\xa7\xc3\xa3o,3
2010-01-01,Rela\xc3\xa7\xc3\xb5es de Parentesco,10
2010-01-01,Remo\xc3\xa7\xc3\xa3o,2
2010-01-01,Representa\xc3\xa7\xc3\xa3o comercial,14
2010-01-01,Rescis\xc3\xa3o,3
2010-01-01,Reserva de Dominio,10
2010-01-01,Resgate de Contribui\xc3\xa7\xc3\xa3o,4
2010-01-01,Responsabilidade Civil,33
2010-01-01,Responsabilidade Civil do Empregador,7
2010-01-01,Responsabilidade da Administra\xc3\xa7\xc3\xa3o,1
2010-01-01,Responsabilidade do Fornecedor,1
2010-01-01,Responsabilidade dos s\xc3\xb3cios,1
2010-01-01,Restabelecimento,7
2010-01-01,Retifica\xc3\xa7\xc3\xa3o de Data de Nascimento,1
2010-01-01,Retifica\xc3\xa7\xc3\xa3o de Nome,1
2010-01-01,Revis\xc3\xa3o,31
2010-01-01,Revis\xc3\xa3o do Saldo Devedor,2
2010-01-01,Revis\xc3\xa3o Geral Anual,3
2010-01-01,Roubo,60
2010-01-01,Roubo Majorado,439
2010-01-01,Sa\xc3\xbade,3
2010-01-01,Sal\xc3\xa1rio,1
2010-01-01,Se\xc3\xa7\xc3\xa3o C\xc3\xadvel,2
2010-01-01,Seguida de Morte,2
2010-01-01,Seguro,526
2010-01-01,Servi\xc3\xa7o Militar dos Profissionais da Sa\xc3\xbade,1
2010-01-01,Servi\xc3\xa7os,3
2010-01-01,Servi\xc3\xa7os Hospitalares,1
2010-01-01,Servid\xc3\xa3o,2
2010-01-01,Servidao de Eletroduto,2
2010-01-01,Servidor P\xc3\xbablico Civil,100
2010-01-01,Servidores Ativos,97
2010-01-01,Servidores Inativos,273
2010-01-01,Sistema Financeiro da Habita\xc3\xa7\xc3\xa3o,42
2010-01-01,Sistema Nacional de Tr\xc3\xa2nsito,9
2010-01-01,Sistema Remunerat\xc3\xb3rio e Benef\xc3\xadcios,114
2010-01-01,Sociedade,3
2010-01-01,Sonega\xc3\xa7\xc3\xa3o de papel ou objeto de valor probat\xc3\xb3rio,1
2010-01-01,Sucess\xc3\xa3o Provis\xc3\xb3ria,1
2010-01-01,Sucess\xc3\xb5es,49
2010-01-01,Susta\xc3\xa7\xc3\xa3o de Protesto,1
2010-01-01,T\xc3\xadtulos de Cr\xc3\xa9dito,4
2010-01-01,Taxa de Coleta de Lixo,1
2010-01-01,Taxa de Ilumina\xc3\xa7\xc3\xa3o P\xc3\xbablica,4
2010-01-01,Taxa de Limpeza P\xc3\xbablica,1
2010-01-01,Taxa de Ocupa\xc3\xa7\xc3\xa3o,1
2010-01-01,Taxas,11
2010-01-01,Telefonia,98
2010-01-01,Tempo de Servi\xc3\xa7o,4
2010-01-01,Tr\xc3\xa1fico de Drogas e Condutas Afins,375
2010-01-01,Transa\xc3\xa7\xc3\xa3o,13
2010-01-01,Transfer\xc3\xaancia de Financiamento,1
2010-01-01,Transporte A\xc3\xa9reo,5
2010-01-01,Transporte de Coisas,1
2010-01-01,Transporte de Pessoas,4
2010-01-01,Transporte Terrestre,1
2010-01-01,Tratamento M\xc3\xa9dico,457
2010-01-01,Tratamento Medico,113
2010-01-01,Tutela e Curatela,5
2010-01-01,Uni\xc3\xa3o Est\xc3\xa1vel ou Concubinato,17
2010-01-01,Uso,1
2010-01-01,Uso de documento falso,8
2010-01-01,Usucapi\xc3\xa3o da L 6,1
2010-01-01,Usucapi\xc3\xa3o Extraordin\xc3\xa1ria,9
2010-01-01,Usucapi\xc3\xa3o Ordin\xc3\xa1ria,1
2010-01-01,Usucapiao,1
2010-01-01,Viol\xc3\xaancia Dom\xc3\xa9stica contra a Mulher,2
2010-01-01,Viola\xc3\xa7\xc3\xa3o de direito autoral,13
2010-01-01,Volunt\xc3\xa1ria,1
2010-02-01,\xc3\x81guas P\xc3\xbablicas,6
2010-02-01,1,80
2010-02-01,Abandono Material,3
2010-02-01,Abuso Sexual,1
2010-02-01,Acidente de Tr\xc3\xa2nsito,29
2010-02-01,Acidente de Trabalho,32
2010-02-01,Acidente De Trabalho,3
2010-02-01,Adicional de Horas Extras,2
2010-02-01,Adicional de Insalubridade,12
2010-02-01,Adicional de Periculosidade,1
2010-02-01,Adjudica\xc3\xa7\xc3\xa3o Compuls\xc3\xb3ria,2
2010-02-01,Administra\xc3\xa7\xc3\xa3o,1
2010-02-01,Administra\xc3\xa7\xc3\xa3o de Heran\xc3\xa7a,1
2010-02-01,Ado\xc3\xa7\xc3\xa3o de Crian\xc3\xa7a,2
2010-02-01,Adultera\xc3\xa7\xc3\xa3o de Sinal Identificador de Ve\xc3\xadculo Automotor,10
2010-02-01,Aliena\xc3\xa7\xc3\xa3o Fiduci\xc3\xa1ria,2870
2010-02-01,Alimentos,142
2010-02-01,Altera\xc3\xa7\xc3\xa3o de Coisa Comum,1
2010-02-01,Amamenta\xc3\xa7\xc3\xa3o,1
2010-02-01,Amea\xc3\xa7a,12
2010-02-01,Anula\xc3\xa7\xc3\xa3o,6
2010-02-01,Anula\xc3\xa7\xc3\xa3o e Corre\xc3\xa7\xc3\xa3o de Provas,3
2010-02-01,Aposentadoria,6
2010-02-01,Aposentadoria Especial,1
2010-02-01,Aposentadoria por Invalidez,8
2010-02-01,Aposentadoria por Invalidez Acident\xc3\xa1ria,6
2010-02-01,Apreens\xc3\xa3o,1
2010-02-01,Apropria\xc3\xa7\xc3\xa3o ind\xc3\xa9bita,14
2010-02-01,Aquisi\xc3\xa7\xc3\xa3o,4
2010-02-01,Arrendamento Mercantil,447
2010-02-01,Arrendamento Rural,24
2010-02-01,Assembl\xc3\xa9ia,1
2010-02-01,Assinatura B\xc3\xa1sica Mensal,1
2010-02-01,Associa\xc3\xa7\xc3\xa3o,1
2010-02-01,Associa\xc3\xa7\xc3\xa3o para a Produ\xc3\xa7\xc3\xa3o e Tr\xc3\xa1fico e Condutas Afins,2
2010-02-01,Assun\xc3\xa7\xc3\xa3o de Obriga\xc3\xa7\xc3\xa3o no \xc3\x9altimo Ano do Mandado ou Legislatura,1
2010-02-01,Atentado Violento ao Pudor,38
2010-02-01,Atividade Pol\xc3\xadtica,1
2010-02-01,Ato Infracional,49
2010-02-01,Atos Administrativos,8
2010-02-01,Atraso de v\xc3\xb4o,1
2010-02-01,Autofal\xc3\xaancia,1
2010-02-01,Aux\xc3\xadlio,1559
2010-02-01,Banc\xc3\xa1rios,823
2010-02-01,Bem de Fam\xc3\xadlia,6
2010-02-01,Benef\xc3\xadcios em Esp\xc3\xa9cie,10
2010-02-01,Bens P\xc3\xbablicos,1
2010-02-01,Busca e Apreens\xc3\xa3o de Menores,5
2010-02-01,C\xc3\xa9dula de Cr\xc3\xa9dito Banc\xc3\xa1rio,1
2010-02-01,C\xc3\xa9dula de Cr\xc3\xa9dito Comercial,1
2010-02-01,C\xc3\xa9dula de Cr\xc3\xa9dito Rural,5
2010-02-01,C\xc3\xa9dula de Produto Rural,2
2010-02-01,C\xc3\xa9dula Hipotec\xc3\xa1ria,2
2010-02-01,Cal\xc3\xbania,3
2010-02-01,Cancelamento de Protesto,2
2010-02-01,Capacidade,23
2010-02-01,Cart\xc3\xa3o de Cr\xc3\xa9dito,172
2010-02-01,Casamento,1
2010-02-01,Cess\xc3\xa3o de cr\xc3\xa9ditos n\xc3\xa3o,1
2010-02-01,Cheque,95
2010-02-01,Classifica\xc3\xa7\xc3\xa3o e,4
2010-02-01,CNH,5
2010-02-01,Coa\xc3\xa7\xc3\xa3o no curso do processo,8
2010-02-01,Cobran\xc3\xa7a indevida de liga\xc3\xa7\xc3\xb5es,2
2010-02-01,Cofins,399
2010-02-01,Coisas,4
2010-02-01,Comiss\xc3\xa3o,1
2010-02-01,Comodato,5
2010-02-01,Compra e Venda,66
2010-02-01,Compromisso,1
2010-02-01,Concess\xc3\xa3o,6
2010-02-01,Concurso P\xc3\xbablico,35
2010-02-01,Concuss\xc3\xa3o,3
2010-02-01,Condi\xc3\xa7\xc3\xb5es Especiais para Presta\xc3\xa7\xc3\xa3o de Prova,1
2010-02-01,Condom\xc3\xadnio,15
2010-02-01,Condom\xc3\xadnio em Edif\xc3\xadcio,17
2010-02-01,Cons\xc3\xb3rcio,32
2010-02-01,Contra a vida,1
2010-02-01,Contra o Patrim\xc3\xb4nio,2
2010-02-01,Contra os Costumes,1
2010-02-01,Contrabando ou Descaminho,1
2010-02-01,Contratos Administrativos,15
2010-02-01,Contratos Banc\xc3\xa1rios,547
2010-02-01,Contratos de Consumo,32
2010-02-01,Contratos de Participacao Financeira,1169
2010-02-01,Contraven\xc3\xa7\xc3\xb5es Penais,3
2010-02-01,Contribui\xc3\xa7\xc3\xa3o de Ilumina\xc3\xa7\xc3\xa3o P\xc3\xbablica,2
2010-02-01,Contribui\xc3\xa7\xc3\xb5es,2
2010-02-01,Contribui\xc3\xa7\xc3\xb5es de Melhoria,31
2010-02-01,Contribui\xc3\xa7\xc3\xb5es para o SEBRAE,1
2010-02-01,Contribui\xc3\xa7\xc3\xb5es Previdenci\xc3\xa1rias,71
2010-02-01,Contribui\xc3\xa7\xc3\xb5es Sociais,70
2010-02-01,Controle de Constitucionalidade,1
2010-02-01,Corretagem,2
2010-02-01,Corrup\xc3\xa7\xc3\xa3o ativa,2
2010-02-01,Corrup\xc3\xa7\xc3\xa3o de Menores,2
2010-02-01,Corrup\xc3\xa7\xc3\xa3o passiva,5
2010-02-01,Cr\xc3\xa9dito Rural,1
2010-02-01,Crime contra o P\xc3\xa1trio,4
2010-02-01,Crimes contra a Economia Popular,1
2010-02-01,Crimes contra a Flora,3
2010-02-01,Crimes Contra a Ordem Economica,1
2010-02-01,Crimes contra as Rela\xc3\xa7\xc3\xb5es de Consumo,10
2010-02-01,Crimes contra os Costumes,2
2010-02-01,Crimes contra Patente de Inven\xc3\xa7\xc3\xa3o,1
2010-02-01,Crimes da Lei de licita\xc3\xa7\xc3\xb5es,2
2010-02-01,Crimes de Abuso de Autoridade,2
2010-02-01,Crimes de Responsabilidade,5
2010-02-01,Crimes de Tortura,3
2010-02-01,Crimes de Tr\xc3\xa1fico Il\xc3\xadcito e uso indevido de drogas,34
2010-02-01,Crimes de Tr\xc3\xa2nsito,40
2010-02-01,Crimes do Sistema Nacional de Armas,108
2010-02-01,Crimes Falimentares,1
2010-02-01,Crimes Previstos na Legisla\xc3\xa7\xc3\xa3o Extravagante,2
2010-02-01,Crimes Previstos no Estatuto da crian\xc3\xa7a e do adolescente,4
2010-02-01,Crimes Previstos no Estatuto do Idoso,3
2010-02-01,Curso de Forma\xc3\xa7\xc3\xa3o,3
2010-02-01,Custeio de Assist\xc3\xaancia M\xc3\xa9dica,2
