weekDay,assunto_cnj,count
Sun,Empregado Público / Temporário,49
Sun,Empréstimo consignado,8
Sun,Energia Elétrica,3
Sun,Ensino Fundamental e Médio,70
Sun,Ensino Superior,30
Sun,Entrada e Permanência de Menores,1
Sun,Equilíbrio Financeiro,1
Sun,Esbulho / Turbação / Ameaça,8
Sun,Espécies de Contratos,22
Sun,Espécies de Títulos de Crédito,7
Sun,Estabelecimentos de Ensino,3
Sun,Estaduais,3
Sun,Estelionato,7
Sun,Estupro,14
Sun,Estupro (Art. 213),3
Sun,Estupro de vulnerável,46
Sun,Exame de Saúde e/ou Aptidão Física,1
Sun,Exame Psicotécnico / Psiquiátrico,5
Sun,Exclusão - ICMS,1
Sun,Exclusão de associado,1
Sun,Exoneração,5
Sun,Expurgos Inflacionários / Planos Econômicos,83
Sun,Extorsão,2
Sun,Falsificação / Corrupção / Adulteração / Alteração de produto destinado a fins terapêuticos ou medicinais,1
Sun,Falsificação / Corrupção / Adulteração / Alteração de Substância ou Produtos Alimentícios,1
Sun,Falsificação de documento público,1
Sun,Falso testemunho ou falsa perícia,1
Sun,Família,4
Sun,Fato Atípico :: Competência de Juizado Especial Crime - Trânsito,4
Sun,Fato Gerador/Incidência,1
Sun,Férias,6
Sun,Fiança,1
Sun,Fiscalização,4
Sun,Fixação,2
Sun,Fornecimento de Água,21
Sun,Fornecimento de Energia Elétrica,89
Sun,Fornecimento de medicamentos,1
Sun,Fornecimento de Medicamentos,111
Sun,Furto,6
Sun,Furto (art. 155),2
Sun,Furto Privilegiado,1
Sun,Furto Qualificado,43
Sun,Garantias Constitucionais,2
Sun,Gestante / Adotante / Paternidade,1
Sun,Gestão de Negócios,2
Sun,Gratificação de Incentivo,2
Sun,Gratificação Natalina/13º salário,1
Sun,Gratificações de Atividade,16
Sun,Gratificações e Adicionais,8
Sun,Grave,2
Sun,Gravíssima,3
Sun,Guarda,10
Sun,Habilitação / Registro Cadastral / Julgamento / Homologação,2
Sun,Homicídio Privilegiado,2
Sun,Homicídio Qualificado,115
Sun,Homicídio Simples,22
Sun,Honorarios Profissionais,10
Sun,ICMS / Incidência Sobre o Ativo Fixo,6
Sun,ICMS/ Imposto sobre Circulação de Mercadorias,308
Sun,ICMS/Importação,2
Sun,Imissão,3
Sun,Impostos,97
Sun,Improbidade Administrativa,29
Sun,Inadimplemento,3
Sun,Inclusão Indevida em Cadastro de Inadimplentes,35
Sun,Inconstitucionalidade Material,5
Sun,Indenização / Terço Constitucional,3
Sun,Indenização por Dano Material,17
Sun,Indenização por Dano Moral,181
Sun,Infração Administrativa,3
Sun,Ingresso e Concurso,1
Sun,Injúria,1
Sun,Inscrição / Documentação,2
Sun,Integralidade,36
Sun,Interesse Particular,1
Sun,Invalidez Permanente,2
Sun,Inventário e Partilha,22
Sun,Investigação de Paternidade,2
Sun,IPTU/ Imposto Predial e Territorial Urbano,254
Sun,IPVA - Imposto Sobre Propriedade de Veículos Automotores,18
Sun,IRPF/Imposto de Renda de Pessoa Física,26
Sun,Irredutibilidade de Vencimentos,1
Sun,Isonomia,1
Sun,Isonomia/Equivalência Salarial,4
Sun,ISS/ Imposto sobre Serviços,81
Sun,ITBI - Imposto de Transmissão Intervivos de Bens Móveis e Imóveis,8
Sun,ITCD - Imposto de Transmissão Causa Mortis,6
Sun,Jornada de Trabalho,39
Sun,Latrocínio,10
Sun,Leve,1
Sun,Liberação de Veículo Apreendido,1
Sun,Licença Prêmio,3
Sun,Licença-Prêmio,4
Sun,Licenças,3
Sun,Licenças / Afastamentos,1
Sun,Licenciamento de Veículo,3
Sun,Licitações,14
Sun,Limite de Idade,1
Sun,Liquidação / Cumprimento / Execução :: Competência de Cível - Meio Ambiente,3
Sun,Liquidação / Cumprimento / Execução :: Competência de Precatória Cível,2
Sun,Liquidação / Cumprimento / Execução :: Competência de Precatória Registros Públicos,1
Sun,Locação de Imóvel,26
Sun,Magistério público da educação básica - hora-atividade (Lei 11.738/08),72
Sun,Mandato,7
Sun,Marca,1
Sun,Meio Ambiente,20
Sun,Militar,7
Sun,Multas e demais Sanções,134
Sun,Municipais,14
Sun,Mútuo,2
Sun,Nomeação,13
Sun,Nota Promissória,9
Sun,Obrigações,55
Sun,Ordenação da Cidade / Plano Diretor,2
Sun,Pagamento,8
Sun,Pagamento Atrasado / Correção Monetária,2
Sun,Parcelamento de Vencimentos,38
Sun,Patente,1
Sun,Peculato,2
Sun,Penalidades,1
Sun,Pensão,51
Sun,Pensão por Morte (Art. 74/9),15
Sun,Perdas e Danos,1
Sun,Pessoas naturais,7
Sun,PIS,2
Sun,Piso Salarial,159
Sun,Planos de Saúde,63
Sun,Posse,33
Sun,Posse de Drogas para Consumo Pessoal,36
Sun,Posse Sexual Mediante Fraude,1
Sun,Prefeito,1
Sun,Prestação de Contas,1
Sun,Prestação de Serviços,22
Sun,Previdência privada,82
Sun,Processo Administrativo Disciplinar / Sindicância,1
Sun,Processo Administrativo Disciplinar ou Sindicância,6
Sun,Promessa de Compra e Venda,55
Sun,Promoção,6
Sun,Promoção / Ascensão,18
Sun,Propriedade,6
Sun,Propriedade Fiduciária,1
Sun,Propriedade Intelectual / Industrial,7
Sun,Quadrilha ou Bando,1
Sun,Readaptação,1
Sun,"Reajustes de Remuneração, Proventos ou Pensão",305
Sun,Receptação,13
Sun,Receptação Qualificada,7
Sun,Reconhecimento / Dissolução,7
Sun,Recuperação judicial e Falência,6
Sun,Regime Estatutário,1
Sun,Registro Civil das Pessoas Naturais,1
Sun,Registro em Cadastro,3
Sun,Registro em Cadastro de Análise de Crédito,1
Sun,Registro em Cadastro de Inadimplentes,22
Sun,Regulamentação de Visitas,1
Sun,Reintegração,3
Sun,Repetição de indébito,12
Sun,Representação comercial,1
Sun,Rescisão,1
Sun,Reserva de Vagas para Deficientes,1
Sun,Resgate de Contribuição,2
Sun,Responsabilidade Civil,34
Sun,Responsabilidade da Administração,9
Sun,Responsabilidade do Fornecedor,2
Sun,Restabelecimento,5
Sun,Revisão,5
Sun,"Revisão Geral Anual (Mora do Executivo - inciso X, art. 37, CF 1988)",1
Sun,Revogação/Anulação de multa ambiental,1
Sun,Revogação/Concessão de Licença Ambiental,2
Sun,Roubo,14
Sun,Roubo (art. 157),13
Sun,Roubo Majorado,89
Sun,Salário-Família,13
Sun,Saúde,20
Sun,Seção Cível,2
Sun,Seguro,275
Sun,Seqüestro e cárcere privado,1
Sun,Serviços,13
Sun,Serviços Hospitalares,3
Sun,Servidão,1
Sun,Servidão Administrativa,2
Sun,Servidao de Eletroduto,5
Sun,Servidor Público Civil,92
Sun,Servidores Ativos,2
Sun,Servidores Inativos,17
Sun,Sistema Financeiro da Habitação,4
Sun,Sistema Nacional de Trânsito,63
Sun,Sistema Remuneratório e Benefícios,184
Sun,Sociedade,7
Sun,Sucessões,5
Sun,Suspensão da Exigibilidade,2
Sun,Sustação de Protesto,6
Sun,Taxa de Coleta de Lixo,9
Sun,Taxa de Licenciamento de Estabelecimento,12
Sun,Taxa de Prevenção e Combate a Incêndio,2
Sun,Taxas,8
Sun,Telefonia,76
Sun,Tempo de Serviço,4
Sun,Teto Salarial,2
Sun,Tráfico de Drogas e Condutas Afins,212
Sun,Transferência de cotas,2
Sun,Transporte de Coisas,1
Sun,Tratamento Médico-Hospitalar,11
Sun,Tratamento Medico-Hospitalar e/ou Fornecimento,21
Sun,Tratamento Médico-Hospitalar e/ou Fornecimento de Medicamentos,382
Sun,Troca ou Permuta,2
Sun,Tutela e Curatela,1
Sun,Uso de documento falso,2
Sun,Usucapião da L 6.969/1981,1
Sun,Usucapião Extraordinária,11
Sun,Usucapião Ordinária,1
Sun,Usufruto,1
Sun,Violação de direito autoral,2
Sun,Violação de domicílio,1
Sun,NA,119
Mon,1/3 de férias,1
Mon,Abandono de incapaz,2
Mon,Abandono Intelectual,34
Mon,Abandono Intelectual :: Competência de Execução Cível - JIJ,3
Mon,Abandono Material,63
Mon,Abandono Material :: Competência de Medidas de Proteção - JIJ,1
Mon,Abatimento proporcional do preço,20
Mon,Abono de Permanência,165
Mon,Aborto provocado pela gestante ou com o seu consentimento,1
Mon,Abuso Sexual,9
Mon,Abuso Sexual :: Competência de Família Substituta - JIJ,1
Mon,Acidente de Trabalho,62
Mon,Acidente De Trabalho,152
Mon,Acidente de Trânsito,800
Mon,Acompanhamento de Cônjuge ou Companheiro,3
Mon,Acumulação de Cargos,11
Mon,Adicional de Horas Extras,220
Mon,Adicional de Insalubridade,385
Mon,Adicional de Periculosidade,37
Mon,Adicional de Produtividade,1
Mon,Adicional de Serviço Noturno,1872
Mon,Adicional por Tempo de Serviço,15
Mon,"Adidos, Agregados e Adjuntos",1
Mon,Adimplemento e Extinção,14
Mon,Adjudicação Compulsória,92
Mon,Administração,3
Mon,Administração de Herança,14
Mon,Administração judicial,2
Mon,Admissão / Permanência / Despedida,84
Mon,Adoção de Adolescente,1
Mon,Adoção de Criança,31
Mon,Adoção de Maior,4
Mon,Adoção Internacional :: Competência de Preparação para Adoção - JIJ,1
Mon,Adoção Nacional,10
Mon,Adoção Nacional :: Competência de Preparação para Adoção - JIJ,1
Mon,Adulteração de Sinal Identificador de Veículo Automotor,29
Mon,Advertência,1
Mon,Advocacia administrativa,2
Mon,Afastamento,1
Mon,Afastamento do Cargo,4
Mon,Agêncie e Distribuição,3
Mon,Agentes Políticos,10
Mon,Agrotóxicos,5
Mon,Águas Públicas,19
Mon,Alienação Fiduciária,12891
Mon,Alienação Judicial,4
Mon,Alienação Parental,5
Mon,Alimentos,1354
Mon,Alíquota Zero,1
Mon,Alteração de Coisa Comum,3
Mon,Alteração de limites,4
Mon,Amamentação,1
Mon,Ameaça,889
Mon,Ameaça (art. 147),26
Mon,Anulação,66
Mon,Anulação de Débito Fiscal,34
Mon,Anulação e Correção de Provas / Questões,119
Mon,Aposentadoria,278
Mon,Aposentadoria Especial (Art. 57/8),2
Mon,Aposentadoria por Invalidez,80
Mon,Aposentadoria por Invalidez Acidentária,45
Mon,Aposentadoria por Tempo de Contribuição (Art. 55/6),3
Mon,Aposentadoria por Tempo de Serviço (Art. 52/4),2
Mon,Apreensão,5
Mon,Apropriação de Coisa Achada,2
Mon,"Apropriação de Coisa Havida por Erro, Caso Fortuito ou Força da Natureza",7
Mon,Apropriação indébita,46
Mon,"Apropriação indébita (art. 168, caput)",1
Mon,Apuração de haveres,17
Mon,Aquisição,146
Mon,Área de Preservação Permanente,1
Mon,Arras ou Sinal,1
Mon,Arrendamento Mercantil,497
Mon,Arrendamento Rural,174
Mon,Assédio Sexual,7
Mon,Assembléia,19
Mon,Assinatura Básica Mensal,22
Mon,Assistência à Saúde,19
Mon,Assistência Pré-escolar,1
Mon,Associação,56
Mon,Associação para a Produção e Tráfico e Condutas Afins,36
Mon,Atentado ao Pudor Mediante Fraude,3
Mon,Atentado Violento ao Pudor,58
Mon,Atentado Violento ao Pudor (Art. 214),3
Mon,Atividade Política,11
Mon,Ato / Negócio Jurídico,40
Mon,Ato Infracional,656
Mon,"Ato Lesivo ao Patrimônio Artístico, Estético, Histórico ou Turístico",7
Mon,Atos Administrativos,507
Mon,Atos Unilaterais,11
Mon,ATP/Adicional de Tarifa Portuária,1
Mon,Atraso de vôo,6
Mon,Autofalência,11
Mon,Auxílio-Acidente (Art. 86),508
Mon,Auxílio-Alimentação,2991
Mon,Auxílio-Doença Acidentário,1624
Mon,Auxílio-Doença Previdenciário,14
Mon,Auxílio-Funeral,1
Mon,Auxílio-Natalidade,2
Mon,Auxílio-transporte,4
Mon,Averbação / Contagem de Tempo Especial,3
Mon,Bancários,883
Mon,Base de Cálculo,1
Mon,Bem de Família,46
Mon,"Benefício Assistencial (Art. 203,V CF/88)",2
Mon,Benefícios em Espécie,123
Mon,Benfeitorias,2
Mon,Bens Públicos,4
Mon,Bloqueio de Valores de Contas Públicas,1
Mon,Bolsa de Valores,1
Mon,Busca e Apreensão de Menores,37
Mon,Cadastro de Análise de Crédito,4470
Mon,Calúnia,260
Mon,Câmbio,3
Mon,Cancelamento de Hipoteca,1
Mon,Cancelamento de Protesto,62
Mon,Cancelamento de vôo,8
Mon,Capacidade,396
Mon,Capitalização e Previdência Privada,1
Mon,Cartão de Crédito,1444
Mon,Casamento,104
Mon,Cédula de Crédito à Exportação,1
Mon,Cédula de Crédito Bancário,143
Mon,Cédula de Crédito Comercial,15
Mon,Cédula de Crédito Industrial,10
Mon,Cédula de Crédito Rural,110
Mon,Cédula de Produto Rural,23
Mon,Cédula Hipotecária,12
Mon,Cessão de Crédito,4
Mon,Cessão de Crédito :: Competência da Direção do Foro Cível,1
Mon,Cheque,783
Mon,Cirurgia,1
Mon,Classificação de créditos,2
Mon,Classificação e/ou Preterição,187
Mon,CNH - Carteira Nacional de Habilitação,636
Mon,Coação no curso do processo,16
Mon,Cobrança indevida de ligações,8
Mon,Cofins,82
Mon,Coisas,425
Mon,"Colaboração com Grupo, Organização ou Associação Destinados à Produção ou Tráfico de Drogas",2
Mon,Comercialização de dados cadastrais de consumidores,121
Mon,"Cometidos por Meio de Marca, Título de Estabelecimento e Sinal de Propaganda",1
Mon,Comissão,10
Mon,Comodato,53
Mon,Compensação,3
Mon,Compra e Venda,1048
Mon,Compromisso,43
Mon,Compulsória,29
Mon,Comunicação falsa de crime ou de contravenção,24
Mon,Concessão,171
Mon,Concessão / Permissão / Autorização,18
Mon,Concurso de Credores,5
Mon,Concurso Público / Edital,586
Mon,Concussão,7
Mon,Condições Especiais para Prestação de Prova,1
Mon,Condomínio,459
Mon,Condomínio em Edifício,177
Mon,Conflito Fundiário Coletivo Rural,1
Mon,Conselhos Regionais e Afins (Anuidade),6
Mon,Consórcio,228
Mon,Constituição de Renda,2
Mon,Constrangimento ilegal,17
Mon,Consulta,1
Mon,Contra a Administração da Justiça,1
Mon,Contra a dignidade sexual,1
Mon,Contra a Incolumidade Pública,2
Mon,Contra a liberdade pessoal,2
Mon,Contra a Paz Pública,2
Mon,Contra a vida,3
Mon,Contra o Patrimônio,10
Mon,Contrabando ou Descaminho,1
Mon,Contrato Temporário de Mão de Obra L 8.745/1993,16
Mon,Contratos Administrativos,311
Mon,Contratos Bancários,8520
Mon,Contratos de Consumo,426
Mon,Contratos de Participacao Financeira,3462
Mon,Contravenções Penais,2420
Mon,Contribuição de Iluminação Pública,3
Mon,Contribuição Sindical,39
Mon,Contribuições,34
Mon,Contribuições Corporativas,5
Mon,Contribuições de Melhoria,74
Mon,Contribuições Especiais,2
Mon,"Contribuições para o SEBRAE, SESC, SENAC, SENAI e outros",7
Mon,Contribuições Previdenciárias,761
Mon,Contribuições Sociais,22
Mon,Controle de Constitucionalidade,491
Mon,Convênio,6
Mon,Convolação de recuperação judicial em falência,3
Mon,Correção Monetária,1
Mon,Corretagem,195
Mon,Corrupção ativa,10
Mon,Corrupção de Menores,1
Mon,Corrupção passiva,9
Mon,Creditamento,1
Mon,Crédito Rural,17
Mon,Crédito Tributário,21
Mon,Crime Contra a Administração da Justiça - Lei da Ação de Alimentos,1
Mon,Crime contra o Pátrio-Poder e Tutela,3
Mon,Crime Tentado :: Competência de Crime Sumário,1
Mon,Crime Tentado :: Decorrente de Violência Doméstica,1
Mon,Crimes Contra a Administração da Justiça,5
Mon,Crimes contra a Economia Popular,4
Mon,Crimes contra a Família,2
Mon,Crimes contra a Fauna,175
Mon,Crimes contra a Flora,77
Mon,Crimes contra a Honra,2
Mon,Crimes contra a inviolabilidade de segredo,2
Mon,Crimes contra a liberdade pessoal,3
Mon,Crimes Contra a Ordem Economica,2
Mon,Crimes contra as Marcas,21
Mon,Crimes contra as Relações de Consumo,32
Mon,Crimes contra Indicações Geeográficas e Demais Indicações,6
Mon,Crimes contra o Meio Ambiente e o Patrimônio Genético,2
Mon,Crimes contra o Patrimônio,1
Mon,Crimes Contra o Sistema Financeiro,1
Mon,Crimes contra Patente de Invenção,1
Mon,Crimes da Lei de licitações,18
Mon,Crimes de Abuso de Autoridade,19
Mon,Crimes de Imprensa,2
Mon,"Crimes de Lavagem ou Ocultação de Bens, Direitos ou Valores",14
Mon,Crimes de Responsabilidade,11
Mon,Crimes de Tortura,11
Mon,Crimes de Tráfico Ilícito e Uso Indevido de Drogas,2
Mon,Crimes de Tráfico Ilícito e uso indevido de drogas - L 6368,32
Mon,Crimes de Trânsito,1561
Mon,Crimes do Sistema Nacional de Armas,296
Mon,Crimes do Sistema Nacional de Armas - L 9437,1
Mon,Crimes Eleitorais,2
Mon,Crimes Falimentares,6
Mon,Crimes Militares,2
Mon,Crimes Praticados por Particular Contra a Administração em Geral,1
Mon,Crimes Previstos na Legislação Extravagante,3
Mon,Crimes Previstos no Estatuto da criança e do adolescente,16
Mon,Crimes Previstos no Estatuto do Idoso,12
Mon,Crimes Resultante de Preconceito de Raça ou de Cor,1
Mon,Curso de Formação,15
Mon,Custeio de Assistência Médica,7
Mon,Da Poluição,199
Mon,Dação em Pagamento,1
Mon,Dano,25
Mon,Dano (art. 163),2
Mon,Dano Ambiental,3
Mon,Dano ao Erário,22
Mon,Dano Qualificado,24
Mon,De Tráfico Ilícito e Uso Indevido de Drogas,119
Mon,De Trânsito,5
Mon,Debêntures,2
Mon,Decorrente de Violência Doméstica,203
Mon,Decretação de Ofício,2
Mon,"Defeito, nulidade ou anulação",3
Mon,Defensoria Pública,1
Mon,Demissão ou Exoneração,47
Mon,Denunciação caluniosa,9
Mon,Depósito,5
Mon,Desacato,415
Mon,Desacato (art. 331),3
Mon,Desapropriação,96
Mon,Desapropriação de Imóvel Urbano,3
Mon,Desapropriação Indireta,36
Mon,Desapropriação por Utilidade Pública / DL 3.365/1941,41
Mon,Desconsideração da Personalidade Jurídica,2
Mon,Desconto em folha de pagamento,24
Mon,Descontos Indevidos,225
Mon,Deserdação,1
Mon,Desobediência,165
Mon,Desobediência (art. 330),1
Mon,Desobediência a decisão judicial sobre perda ou suspensão de direitos,15
Mon,Despacho de Citação,1
Mon,Despejo para Uso de Ascendentes e Descendentes,3
Mon,Despejo para Uso Próprio,25
Mon,Despejo por Denúncia Vazia,52
Mon,Despesas Condominiais,274
Mon,Diárias e Outras Indenizações,9
Mon,Difamação,298
Mon,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,385
Mon,Direito Autoral,50
Mon,DIREITO CIVIL,506
Mon,DIREITO DA CRIANÇA E DO ADOLESCENTE,723
Mon,DIREITO DA SAÚDE,18
Mon,Direito de Greve,19
Mon,Direito de Imagem,33
Mon,Direito de Preferência,2
Mon,Direito de Vizinhança,197
Mon,DIREITO DO CONSUMIDOR,206
Mon,DIREITO DO TRABALHO,2
Mon,DIREITO PENAL,148
Mon,Direitos / Deveres do Condômino,3
Mon,Direitos da Personalidade,6
Mon,Direitos e Títulos de Crédito,3
Mon,Dirigente Sindical,8
Mon,Disposição de coisa alheia como própria,1
Mon,Dissolução,901
Mon,Dívida Ativa não-tributária,193
Mon,Divisão e Demarcação,67
Mon,Divulgação de segredo,1
Mon,Do Sistema Nacional de Armas,28
Mon,Doação,30
Mon,Domínio Público,9
Mon,Duplicata,444
Mon,Duplicata Simulada,3
Mon,Edital,12
Mon,Eleição,3
Mon,Empregado Público / Temporário,337
Mon,Empreitada,34
Mon,Empréstimo consignado,333
Mon,Empréstimos Compulsórios,2
Mon,Energia Elétrica,19
Mon,Enquadramento,10
Mon,Enriquecimento ilícito,3
Mon,Enriquecimento sem Causa,6
Mon,Ensino Fundamental e Médio,1755
Mon,Ensino Superior,535
Mon,Entrada e Permanência de Menores,6
Mon,Entrega de Filho Menor a Pessoa Inidônea :: Competência de Crime Sumário,2
Mon,Envenenamento de Água Potável / Substância Alimentícia ou Medicinal :: Competência de Crime Sumário,1
Mon,Equilíbrio Financeiro,4
Mon,Erro Médico,231
Mon,Esbulho / Turbação / Ameaça,396
Mon,Escolaridade,5
Mon,Espécies de Contratos,1058
Mon,Espécies de Títulos de Crédito,480
Mon,Estabelecimentos de Ensino,130
Mon,Estaduais,46
Mon,Estágio Probatório,1
Mon,Estatuto da criança e do adolescente,1
Mon,Estelionato,111
Mon,Estelionato Majorado,1
Mon,Estupro,98
Mon,Estupro (Art. 213),41
Mon,Estupro de vulnerável,186
Mon,Evicção ou Vicio Redibitório,4
Mon,Exame de Saúde e/ou Aptidão Física,47
Mon,Exame Psicotécnico / Psiquiátrico,81
Mon,Exclusão - ICMS,10
Mon,Exclusão de associado,3
Mon,Exclusão de herdeiro ou legatário,4
Mon,Execução Contratual,14
Mon,Exercício arbitrário das próprias razões,11
Mon,"Exercício Ilegal da Medicina, Arte Dentária ou Farmacêutica",2
Mon,Exibicao de Documentos,138
Mon,Exigência de Prática Forense,1
Mon,Exoneração,320
Mon,Expedição de Certidão Positiva de Débito com Efeito de Negativa,1
Mon,Exploração do Trabalho Infantil :: Competência de Irregul. em Entidade de Atend. Sócioeducativo-JIJ,1
Mon,Expurgos Inflacionários / Planos Econômicos,4976
Mon,Extorsão,52
Mon,Extorsão mediante seqüestro,12
Mon,Extravio de bagagem,11
Mon,Fabricação de Objeto Destinado a Produção de Drogas e Condutas Afins,2
Mon,Falsa identidade,16
Mon,Falsidade ideológica,11
Mon,Falsificação / Corrupção / Adulteração / Alteração de produto destinado a fins terapêuticos ou medicinais,5
Mon,Falsificação / Corrupção / Adulteração / Alteração de Substância ou Produtos Alimentícios,4
Mon,Falsificação de documento particular,3
Mon,Falsificação de documento público,10
Mon,Falsificação de papéis públicos,1
Mon,Falso testemunho ou falsa perícia,4
Mon,Falta / Insuficiência das Condições de Encarceramento :: Competência da Fazenda Pública,172
Mon,Família,314
Mon,Fato Atípico,8
Mon,Fato Atípico :: Competência de Juizado Especial Crime,15
Mon,Fato Atípico :: Competência de Juizado Especial Crime - Trânsito,95
Mon,Fato Atípico :: Competência de Violência Doméstica,10
Mon,Fato Gerador/Incidência,3
Mon,Fatos Jurídicos,15
Mon,Fauna,4
Mon,Favorecimento da Prostituição,2
Mon,FAVORECIMENTO DA PROSTITUICAO OU OUTRA FORMA DE EXPLORACAO SEXUAL DE VULNERAVEL,5
Mon,Favorecimento pessoal,1
Mon,Favorecimento real,22
Mon,Férias,148
Mon,Ferroviário,1
Mon,FGTS/Fundo de Garantia Por Tempo de Serviço,5
Mon,Fiança,5
Mon,Financiamento de Produto,17
Mon,Fiscalização,38
Mon,Fixação,141
Mon,Flora,1
Mon,Fornecimento de Água,346
Mon,Fornecimento de Energia Elétrica,1626
Mon,Fornecimento de insumos,3
Mon,Fornecimento de medicamentos,49
Mon,Fornecimento de Medicamentos,914
Mon,Fraldas,2
Mon,Franquia,32
Mon,Fraude à execução,5
Mon,Fraude no Pagamento por Meio de Cheque,1
Mon,Fraude processual,3
Mon,Fuga de pessoa presa ou submetida a medida de segurança,4
Mon,Funcionamento de Estabelecimentos Empresariais,7
Mon,Fundação de Direito Privado,2
Mon,Furto,157
Mon,Furto (art. 155),51
Mon,Furto Privilegiado,11
Mon,Furto Qualificado,348
Mon,"Furto Qualificado (Art. 155, § 4o.)",28
Mon,Garantias Constitucionais,121
Mon,Gestante / Adotante / Paternidade,15
Mon,Gestão de Negócios,17
Mon,Governador,3
Mon,Gratificação de Desempenho de Atividade Técnico-administrativa - GDATA,2
Mon,Gratificação de Incentivo,72
Mon,Gratificação Incorporada / Quintos e Décimos / VPNI,1
Mon,Gratificação Natalina/13º salário,125
Mon,Gratificação Natalina/13º Salário,7
Mon,Gratificações da Lei 8.112/1990,1
